链,地址,推测交易所,置信度,来源数,来源详情,命中原因/标签原文,Nansen验证结果,Arkham验证结果,备注
solana,9uyDy9VDBw4K7xoSkhmCAm8NAFCwu4pkF6JeHUCtVKcX,FTX,medium,1,auto_snapshot_label,持仓快照标签 'FTX Cold Storage #2' 命中交易所关键词,,,
solana,CLu4kFM4nb67xrdN7vJnMxXXir8Z5hA4HJUzPFccXjsL,FTX,medium,1,auto_snapshot_label,持仓快照标签 'Raydium (MSFTx-USDC) Market' 命中交易所关键词,,,
solana,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,Gate.io,medium,1,auto_snapshot_label,持仓快照标签 'Gate.io' 命中交易所关键词,,,
solana,HiRpdAZifEsZGdzQ5Xo5wcnaH3D2Jj9SoNsUzcYNK78J,Gate.io,medium,1,auto_snapshot_label,持仓快照标签 'Gate.io 2' 命中交易所关键词,,,
solana,bazxfWH6Vu2FncaSKc3kkgvyCuPwyFpx4ryZPcNiG7x,Gemini,medium,1,auto_snapshot_label,持仓快照标签 'Gemini Cold Wallet (bazxf)' 命中交易所关键词,,,
solana,HFWv1riXSRJ3nVnnLZ9xi1K4r3zppRvcfVuiAGqAA8Y6,Gemini,medium,1,auto_snapshot_label,持仓快照标签 'Gemini Hot Wallet (HFWv1)' 命中交易所关键词,,,
solana,8NBEbxLknGv5aRYefFrW2qFXoDZyi9fSHJNiJRvEcMBE,HTX,medium,1,auto_snapshot_label,持仓快照标签 'HTX Cold Wallet (8NBEb)' 命中交易所关键词,,,
solana,Cw32Ny2xcYdpfJmvFd7h2pRhcbcjoJFq8KrrA8YLwZeh,HTX,medium,1,auto_snapshot_label,持仓快照标签 'HTX Cold Wallet (Cw32N)' 命中交易所关键词,,,
solana,Cmcot2ren9ZrZuMQCUUhZAzmWXyZLVuwm8JeZQuxfmrF,Korbit,medium,1,auto_snapshot_label,持仓快照标签 'Korbit Hot Wallet (Cmcot)' 命中交易所关键词,,,
solana,6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,Kraken,medium,1,auto_snapshot_label,持仓快照标签 'Kraken Hot Wallet (6LY1J)' 命中交易所关键词,,,
solana,EFE3j1pcSP1paUzA86zW7989ZjsFP2J7ginyUqo4ewqR,Kraken,medium,1,auto_snapshot_label,持仓快照标签 'Kraken Cold Wallet (EFE3j)' 命中交易所关键词,,,
solana,E2RvJg2myWpKcbkhBuF81gfhYr6KvmNcDbSmr5qnatYy,Kraken,medium,1,auto_snapshot_label,持仓快照标签 'Kraken Cold Wallet (E2RvJ)' 命中交易所关键词,,,
solana,F7RkX6Y1qTfBqoX5oHoZEgrG1Dpy55UZ3GfWwPbM58nQ,Kraken,medium,1,auto_snapshot_label,持仓快照标签 'Kraken Cold Wallet (F7RkX)' 命中交易所关键词,,,
solana,3xCgDJQ3PSQpoMFnijF9sQNV3J6onmQk7U3ZkxjigeAk,Kraken,medium,1,auto_snapshot_label,持仓快照标签 'Kraken : Cold Wallet (3xCgD)' 命中交易所关键词,,,
solana,FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,Kraken,medium,1,auto_snapshot_label,持仓快照标签 'Kraken Hot Wallet (FWznb)' 命中交易所关键词,,,
solana,FZ1t8TZtx7VSCQdBsxvFJiezj9paUBF6Ub7RKA2eTGyE,KuCoin,medium,1,auto_snapshot_label,持仓快照标签 'KuCoin Cold Wallet (FZ1t8)' 命中交易所关键词,,,
solana,6BhBoBB47wSGjK5uzcGWNcTf2oNRPQNuv6GVdkNyj9PB,KuCoin,medium,1,auto_snapshot_label,持仓快照标签 'KuCoin Cold Wallet (6BhBo)' 命中交易所关键词,,,
solana,AGVhmrhDi3RKLu9nxnRqp3CUpaG3SVeYXWkWcygHAk8N,KuCoin,medium,1,auto_snapshot_label,持仓快照标签 'KuCoin Cold Wallet (AGVhm)' 命中交易所关键词,,,
solana,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,KuCoin,medium,1,auto_snapshot_label,持仓快照标签 'KuCoin Hot Wallet (BmFdp)' 命中交易所关键词,,,
solana,GL8T72PKygWaYrLKtSteN9UUvYYnuC8azNDunk4eaqqQ,KuCoin,medium,1,auto_snapshot_label,持仓快照标签 'KuCoin Cold Wallet (GL8T7)' 命中交易所关键词,,,
solana,8s9j5qUtuE9PGA5s7QeAXEh5oc2UGr71pmJXgyiZMHkt,LBank,medium,1,auto_snapshot_label,持仓快照标签 'LBank Hot Wallet (8s9j5)' 命中交易所关键词,,,
solana,7PyUB9CrytVFSyeS7Gif9QwvZhZZYBBBYaAexmp2hd5D,LBank,medium,1,auto_snapshot_label,"持仓快照标签 'Squad Vault ""Solbank Treasury"" (7PyUB)' 命中交易所关键词",,,
solana,5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,MEXC,medium,1,auto_snapshot_label,持仓快照标签 'MEXC #2' 命中交易所关键词,,,
solana,ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,MEXC,medium,1,auto_snapshot_label,持仓快照标签 'MEXC' 命中交易所关键词,,,
solana,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,OKX,medium,1,auto_snapshot_label,持仓快照标签 'OKX Hot Wallet (C68a6)' 命中交易所关键词,,,
solana,8wM44Ryv9DFCSfkgUnPEPgnsc53arT4cnmXL6LnnC4UW,OKX,medium,1,auto_snapshot_label,持仓快照标签 'OKX Hot Wallet (8wM44)' 命中交易所关键词,,,
solana,EkeyuVghbRfGWPyEtm3vnjKZPbUXXrPqxdar8fsEMuXd,OKX,medium,1,auto_snapshot_label,持仓快照标签 'OKX: Hot Wallet 5' 命中交易所关键词,,,
solana,CBEADkb8TZAXHjVE3zwad4L995GZE7rJcacJ7asebkVG,OKX,medium,1,auto_snapshot_label,持仓快照标签 'OKX Cold Wallet (CBEAD)' 命中交易所关键词,,,
solana,3LzmBquLMap6ak2ofyeDbH99VhJ84k336RJzkLBwq3b1,OKX,medium,1,auto_snapshot_label,持仓快照标签 'OKX Cold Wallet (3LzmB)' 命中交易所关键词,,,
solana,EhDyxGpEz9hryw6MwiBB7898WEzcoGTCAjVQMHbo6Q1M,OKX,medium,1,auto_snapshot_label,持仓快照标签 'OKX Hot Wallet (EhDyx)' 命中交易所关键词,,,
solana,2YxQCXt9spMwoQZiwFLwdjHtscVvXi4nmxCkQCD6Rvgg,OKX,medium,1,auto_snapshot_label,持仓快照标签 'OKX Hot Wallet (2YxQC)' 命中交易所关键词,,,
solana,3n7E2gZmCaDGpmvmHVHhHg13x7y1zG37tnEXvizxnKY1,OKX,medium,1,auto_snapshot_label,持仓快照标签 'OKX Cold Wallet (3n7E2)' 命中交易所关键词,,,
solana,4UP7t9p3HEd9gfF9gFKkGa1ZvLXFS2naHgnxB4fwpLfS,OKX,medium,1,auto_snapshot_label,持仓快照标签 'OKX Hot Wallet (4UP7t)' 命中交易所关键词,,,
solana,9un5wqE3q4oCjyrDkwsdD48KteCJitQX5978Vh7KKxHo,OKX,medium,1,auto_snapshot_label,持仓快照标签 'OKX Hot Wallet (9un5w)' 命中交易所关键词,,,
solana,7Ci23i82UMa8RpfVbdMjTytiDi2VoZS8uLyHhZBV2Qy7,Poloniex,medium,1,auto_snapshot_label,持仓快照标签 'Poloniex Hot Wallet (7Ci23)' 命中交易所关键词,,,
solana,51PZFsSVorGDsWLopZvsqZ4zT1cHNzhfsL9KaJtBqZk1,Upbit,medium,1,auto_snapshot_label,持仓快照标签 'Upbit Hot Wallet (51PZF)' 命中交易所关键词,,,
solana,5PLU3MB93miiNvd1dcY6VkWSzjeGBQpssqbbBJDALrkm,Upbit,medium,1,auto_snapshot_label,持仓快照标签 'Upbit Hot Wallet (5PLU3)' 命中交易所关键词,,,
solana,8m5Aj17QvyLXuS747LEWMhoQ7gWrSNXia2ZfpBK4C5za,Upbit,medium,1,auto_snapshot_label,持仓快照标签 'Upbit Hot Wallet (8m5Aj)' 命中交易所关键词,,,
solana,6pVyMqt1j4Dvq9sB781Sp6uBBFzshGTgRA8K4zDPhskp,Upbit,medium,1,auto_snapshot_label,持仓快照标签 'Upbit Hot Wallet (6pVyM)' 命中交易所关键词,,,
solana,7yEJAtVPDop5P5Xgn8qkjMb3RqitpfmJwQHTbT1TBdwJ,Upbit,medium,1,auto_snapshot_label,持仓快照标签 'Upbit Hot Wallet (7yEJA)' 命中交易所关键词,,,
solana,GBXCqDbUDiNXtiZj1tTerNVqjvQSTf4KhTwi5SPnkbzL,Upbit,medium,1,auto_snapshot_label,持仓快照标签 'Upbit Hot Wallet (GBXCq)' 命中交易所关键词,,,
solana,555oNTKdRECgyLn8fBvySoN6hXMCszFq1Y4oea9p3ZFB,Upbit,medium,1,auto_snapshot_label,持仓快照标签 'Upbit Hot Wallet (555oN)' 命中交易所关键词,,,
solana,FH9iLV5Z8EUEDMnW6CzUPkpDhWJCsHqJ5N4W23njNsUo,Upbit,medium,1,auto_snapshot_label,持仓快照标签 'Upbit Hot Wallet (FH9iL)' 命中交易所关键词,,,
solana,41uCv6a1JPwZT4pDAN4AGvPosHVx2ndkNFEFgKLzd5wx,XT.COM,medium,1,auto_snapshot_label,持仓快照标签 'XT.com: Hot Wallet' 命中交易所关键词,,,
