scenario,horizon_h,n,days,win_rate,avg_ret_net,expectancy,profit_factor,day_t_stat,day_avg,price_thr,vol_thr
Pup_OIup,4,839,22,0.42789034564958284,0.00612780124537929,0.00612780124537929,1.2300469928255449,1.73813803061856,0.011396068072654307,2.5,3.0
Pup_OIup,24,839,22,0.39451728247914186,0.03822194850756082,0.03822194850756082,1.762418365272498,1.405450372696382,0.03272303621812516,2.5,3.0
Pup_OIdown,1,194,22,0.4793814432989691,0.0006192791480674254,0.0006192791480674254,1.0439154759848999,-0.804601662166006,-0.003203087045283448,2.5,4.0
Pup_OIdown,4,194,22,0.5,0.008479228441777188,0.008479228441777188,1.4202385719583335,0.6037639119580656,0.006076865175650225,2.5,4.0
Pup_OIdown,24,194,22,0.5,0.0312627670777648,0.0312627670777648,1.9187688504592848,2.3554558788013065,0.038256119759670186,2.5,4.0
Pup_OIup,1,601,22,0.454242928452579,0.0012454993207685397,0.0012454993207685397,1.0732455085709318,1.305836955246106,0.003921333420117976,2.5,4.0
Pup_OIup,4,601,22,0.4559068219633943,0.008581974346606083,0.008581974346606083,1.3181632431603625,1.8742143328405614,0.015464076000986558,2.5,4.0
Pup_OIup,24,601,22,0.41098169717138106,0.04306354083223354,0.04306354083223354,1.8654751392548734,1.7435433223052086,0.03842121567149303,2.5,4.0
Pup_OIdown,1,551,22,0.43920145190562615,-0.002245607151792897,-0.002245607151792897,0.8584207044569537,-1.34184710188892,-0.003399117474426827,3.0,1.5
Pup_OIdown,4,551,22,0.44464609800362975,0.0015163305338615181,0.0015163305338615181,1.0586689033432937,0.7816900077335276,0.0035550025931431377,3.0,1.5
Pup_OIdown,24,551,22,0.426497277676951,0.017279891566202896,0.017279891566202896,1.3368086300782105,1.980190710960495,0.03245278491193144,3.0,1.5
Pup_OIup,1,1041,22,0.44188280499519694,0.0019750203455739107,0.0019750203455739107,1.1151374691494376,1.0918509017155449,0.002507993185383992,3.0,1.5
Pup_OIup,4,1041,22,0.4543707973102786,0.012739787494622708,0.012739787494622708,1.456840228157921,2.0188673020408654,0.01335191406782359,3.0,1.5
Pup_OIup,24,1041,22,0.42267050912584053,0.05377450792636506,0.05377450792636506,2.0144574632825,1.478432698334918,0.04200638978177709,3.0,1.5
Pup_OIdown,1,411,22,0.46958637469586373,-0.0009990333088220856,-0.0009990333088220856,0.9372134015251266,-1.0047904270749277,-0.002983255178864902,3.0,2.0
Pup_OIdown,4,411,22,0.46715328467153283,0.0031411476831819866,0.0031411476831819866,1.1240124887220113,0.8996751745012016,0.005135507685499966,3.0,2.0
Pup_OIdown,24,411,22,0.43309002433090027,0.020354720968281215,0.020354720968281215,1.4135237774883844,1.8969635140390377,0.031248633562177063,3.0,2.0
Pup_OIup,1,923,22,0.4452871072589382,0.0029695547051738504,0.0029695547051738504,1.1752779946007057,1.6644599599422942,0.0038029644422640898,3.0,2.0
Pup_OIup,4,923,22,0.4561213434452871,0.01283853195463641,0.01283853195463641,1.457197104350473,1.9558652631860574,0.01325980857820785,3.0,2.0
Pup_OIup,24,923,22,0.42145178764897073,0.05131554981328792,0.05131554981328792,1.9917066091428253,1.5125164042301424,0.04244635702081919,3.0,2.0
Pup_OIdown,1,242,22,0.47520661157024796,0.0010988702882725513,0.0010988702882725513,1.0750874095545053,0.4180202260721891,0.0021122471737463834,3.0,3.0
Pup_OIdown,4,242,22,0.512396694214876,0.01147833606108992,0.01147833606108992,1.5246311399865167,1.2131007695104712,0.014334207612937196,3.0,3.0
Pup_OIdown,24,242,22,0.5082644628099173,0.039672020298693815,0.039672020298693815,2.088212112599433,2.758945304375842,0.0528274777464613,3.0,3.0
Pup_OIup,1,692,22,0.43786127167630057,0.001520510443837962,0.001520510443837962,1.0869258928082013,1.2916373032955573,0.0038384725581304484,3.0,3.0
Pup_OIup,4,692,22,0.4436416184971098,0.007828914845705831,0.007828914845705831,1.2723871457112566,1.7282246766521008,0.012427196960229807,3.0,3.0
Pup_OIup,24,692,22,0.4060693641618497,0.045037860997461515,0.045037860997461515,1.8326681203664559,1.3803616360689845,0.03813114773073038,3.0,3.0
Pup_OIdown,1,167,22,0.47305389221556887,-0.00040638509587369575,-0.00040638509587369575,0.9739910772227177,-0.6980850003310528,-0.002961621032570107,3.0,4.0
