scenario,fund_tag,horizon_h,n,days,win_rate,avg_ret_net,expectancy,profit_factor,day_t_stat,day_avg
Pup_OIdown,-,1,58,19,0.4482758620689655,-0.00224940993521574,-0.00224940993521574,0.8758223053460046,-0.7392718005816745,-0.004974450058999117
Pup_OIdown,-,4,58,19,0.4827586206896552,-0.011149594310857672,-0.011149594310857672,0.624180534755255,-1.8096355515734455,-0.013693816894038343
Pup_OIdown,-,24,58,19,0.46551724137931033,0.0562555555110229,0.0562555555110229,2.078493053352148,1.1123155413588977,0.048801521245242674
Pup_OIdown,0,1,275,22,0.46545454545454545,-0.0002654962978597572,-0.0002654962978597572,0.982217196648891,-1.0805395314205657,-0.004308920229020193
Pup_OIdown,0,4,275,22,0.4290909090909091,0.001907372285334657,0.001907372285334657,1.0737177550822614,0.979020110750984,0.009206556200676941
Pup_OIdown,0,24,275,22,0.4254545454545455,0.019111399780002716,0.019111399780002716,1.4554891741558724,1.9903121918306514,0.0338221052858128
Pup_OIup,+,1,181,21,0.5027624309392266,0.009447858252082697,0.009447858252082697,1.5502163974504906,0.5981158202209829,0.00379719239444901
Pup_OIup,+,4,181,21,0.5911602209944752,0.03079112956348799,0.03079112956348799,2.141685039165379,1.0106769771809108,0.016162106075883257
Pup_OIup,+,24,181,21,0.4530386740331492,0.05961796633719065,0.05961796633719065,1.869822512260913,1.2842405789704876,0.043690173483889254
Pup_OIup,-,1,152,21,0.42105263157894735,0.007374311532292443,0.007374311532292443,1.3234342779804675,-1.1103686110995508,-0.006262658479251594
Pup_OIup,-,4,152,21,0.40131578947368424,0.02717062575280425,0.02717062575280425,1.659789094415717,-0.9018882996197153,-0.017828510639754318
Pup_OIup,-,24,152,21,0.4276315789473684,0.15582159713678487,0.15582159713678487,3.41887250555216,0.3783940722832795,0.032003737128635426
Pup_OIup,0,1,588,22,0.4336734693877551,-0.0009788676445510304,-0.0009788676445510304,0.9364108987766908,-0.9388991913417684,-0.002636776842530335
Pup_OIup,0,4,588,22,0.42857142857142855,0.003294345738753491,0.003294345738753491,1.131496532497996,1.0500017200049407,0.020651209497416462
Pup_OIup,0,24,588,22,0.40816326530612246,0.021328828399995923,0.021328828399995923,1.4906087705187763,1.5972024234925113,0.03229421786437325
Pdown_OIup,+,1,91,21,0.38461538461538464,-0.011138492579667812,-0.011138492579667812,0.5104620319172223,-1.6224615002329401,-0.00884993160263096
Pdown_OIup,+,4,91,21,0.3626373626373626,-0.020904392539944982,-0.020904392539944982,0.4771906435150144,-1.9809937634101016,-0.016943196642088914
Pdown_OIup,+,24,91,21,0.45054945054945056,-0.03280161191457528,-0.03280161191457528,0.5829883138796732,-1.3781160565263193,-0.03837638309566547
Pdown_OIup,-,1,81,21,0.41975308641975306,-0.007852065542345178,-0.007852065542345178,0.6125500250830695,-0.17157742620674968,-0.0020165221343023004
Pdown_OIup,-,4,81,21,0.5185185185185185,-0.000715907183296033,-0.000715907183296033,0.9782906064086224,0.10880399962933142,0.0020304930075923165
Pdown_OIup,-,24,81,21,0.5925925925925926,-0.043568945139863584,-0.043568945139863584,0.6247758614517763,0.3409864063258638,0.016398972188549365
Pdown_OIup,0,1,270,21,0.3851851851851852,-0.008772330704235186,-0.008772330704235186,0.47812498478187687,-2.225077550434522,-0.012907739052343156
Pdown_OIup,0,4,270,21,0.48148148148148145,-0.01165089622898932,-0.01165089622898932,0.5878040784988454,-1.4918776889603307,-0.02428263269229138
Pdown_OIup,0,24,270,21,0.48518518518518516,-0.01907307438940259,-0.01907307438940259,0.6587505132131531,-1.5573347516008935,-0.04289703049346045
Pdown_OIdown,+,1,50,19,0.34,-0.015142976150344309,-0.015142976150344309,0.29982658878924673,-3.4982110736898466,-0.016420386106356783
Pdown_OIdown,+,4,50,19,0.36,-0.033713625198138565,-0.033713625198138565,0.20620443852402318,-2.031492698738454,-0.020516035112276614
Pdown_OIdown,+,24,50,19,0.4,-0.08655398915067668,-0.08655398915067668,0.24376005845624515,-2.4457615922829152,-0.10462586838825308
Pdown_OIdown,-,1,31,16,0.3870967741935484,0.0032828812333027587,0.0032828812333027587,1.192133229904685,-0.12147699268418118,-0.0013868058680852917
Pdown_OIdown,-,4,31,16,0.3870967741935484,0.019515286640447084,0.019515286640447084,2.0916255299751225,0.5359698759956387,0.008753681077113629
Pdown_OIdown,-,24,31,16,0.6774193548387096,-0.0649583021735084,-0.0649583021735084,0.4693955819013981,-0.8281662311278657,-0.16318278545051726
Pdown_OIdown,0,1,262,22,0.25572519083969464,-0.0076186893355310965,-0.0076186893355310965,0.40061040577011414,-1.713434822626724,-0.007269338415011054
Pdown_OIdown,0,4,262,22,0.366412213740458,-0.005685549857853119,-0.005685549857853119,0.6727526116135575,-0.023955384336645118,-0.00023872259917204674
Pdown_OIdown,0,24,262,22,0.4541984732824427,-0.0017158843370827378,-0.0017158843370827378,0.9442029152430373,0.1445909207469769,0.001966248732166451
